scenario	inference_runtime	inference_idealized_runtime	inference_runtime_discrepancy	num_tokens_in_prompt	num_tokens	num_output_tokens	exact_match	y=x
commonsense_qa:dataset=hellaswag,method=mcqa,model=ai21_j1-grande	1.842920421			440.1133333	1	1	0.2566666667	1.842920421
commonsense_qa:dataset=hellaswag,method=mcqa,model=ai21_j1-large	0.4467919906	0.04384333333	0.4029486573	440.1133333	1	1	0.2666666667	0.4467919906
commonsense_qa:dataset=openbookqa,method=mcqa,model=openai_davinci	0.3193196456	0.1106466667	0.2086729789	238.4566667	1	1	0.45	0.3193196456
commonsense_qa:dataset=openbookqa,method=mcqa,model=openai_curie	0.1456724723	0.02838	0.1172924723	238.4566667	1	1	0.2433333333	0.1456724723
commonsense_qa:dataset=openbookqa,method=mcqa,model=openai_text-davinci-002	0.2665336235	0.1106466667	0.1558869569	238.4566667	1	1	0.8233333333	0.2665336235
commonsense_qa:dataset=openbookqa,method=mcqa,model=openai_text-davinci-001	0.1601789554	0.1106466667	0.04953228873	238.4566667	1	1	0.62	0.1601789554
commonsense_qa:dataset=openbookqa,method=mcqa,model=openai_text-curie-001	0.1490103396	0.02838	0.1206303396	238.4566667	1	1	0.2566666667	0.1490103396
commonsense_qa:dataset=openbookqa,method=mcqa,model=ai21_j1-jumbo	0.6407265099	0.09186	0.5488665099	185.2466667	1	1	0.3233333333	0.6407265099
commonsense_qa:dataset=openbookqa,method=mcqa,model=ai21_j1-grande	1.856003206			185.2466667	1	1	0.2433333333	1.856003206
commonsense_qa:dataset=openbookqa,method=mcqa,model=ai21_j1-large	0.3403676065	0.02714333333	0.3132242731	185.2466667	1	1	0.2566666667	0.3403676065
commonsense_qa:dataset=commonsenseqa,method=mcqa,model=openai_davinci	0.3540152335	0.135	0.2190152335	286.76	1	1	0.4533333333	0.3540152335
commonsense_qa:dataset=commonsenseqa,method=mcqa,model=openai_curie	0.1487129347	0.034	0.1147129347	286.76	1	1	0.23	0.1487129347
commonsense_qa:dataset=commonsenseqa,method=mcqa,model=openai_text-davinci-002	0.3155872504	0.135	0.1805872504	286.76	1	1	0.8266666667	0.3155872504
commonsense_qa:dataset=commonsenseqa,method=mcqa,model=openai_text-davinci-001	0.1604776955	0.135	0.02547769547	286.76	1	1	0.6466666667	0.1604776955
commonsense_qa:dataset=commonsenseqa,method=mcqa,model=openai_text-curie-001	0.152319711	0.034	0.118319711	286.76	1	1	0.1866666667	0.152319711
commonsense_qa:dataset=commonsenseqa,method=mcqa,model=ai21_j1-jumbo	0.6369550514	0.097	0.5399550514	214.96	1	1	0.2033333333	0.6369550514
commonsense_qa:dataset=commonsenseqa,method=mcqa,model=ai21_j1-grande	1.714500457			214.96	1	1	0.2333333333	1.714500457
commonsense_qa:dataset=commonsenseqa,method=mcqa,model=ai21_j1-large	0.3482059717	0.028	0.3202059717	214.96	1	1	0.1833333333	0.3482059717
commonsense_qa:dataset=piqa,method=mcqa,model=openai_davinci	0.3607891146	0.1400333333	0.2207557813	310.0066667	1	1	0.61	0.3607891146
commonsense_qa:dataset=piqa,method=mcqa,model=openai_curie	0.1568598	0.03543666667	0.1214231334	310.0066667	1	1	0.54	0.1568598
commonsense_qa:dataset=piqa,method=mcqa,model=openai_text-davinci-002	0.2931550924	0.1400333333	0.1531217591	310.0066667	1	1	0.7933333333	0.2931550924
commonsense_qa:dataset=piqa,method=mcqa,model=openai_text-davinci-001	0.1635987671	0.1400333333	0.02356543379	310.0066667	1	1	0.7	0.1635987671
commonsense_qa:dataset=piqa,method=mcqa,model=openai_text-curie-001	0.1548575052	0.03543666667	0.1194208385	310.0066667	1	1	0.4566666667	0.1548575052
commonsense_qa:dataset=piqa,method=mcqa,model=ai21_j1-jumbo	0.567400136	0.10417	0.463230136	237.51	1	1	0.4766666667	0.567400136
commonsense_qa:dataset=piqa,method=mcqa,model=ai21_j1-grande	1.861837864			237.51	1	1	0.51	1.861837864
commonsense_qa:dataset=piqa,method=mcqa,model=ai21_j1-large	0.3360219669	0.02934333333	0.3066786336	237.51	1	1	0.52	0.3360219669
commonsense_qa:dataset=siqa,method=mcqa,model=openai_davinci	0.3564924304	0.13507	0.2214224304	297.32	1	1	0.5333333333	0.3564924304
commonsense_qa:dataset=siqa,method=mcqa,model=openai_curie	0.1498975269	0.03402	0.1158775269	297.32	1	1	0.3133333333	0.1498975269
commonsense_qa:dataset=siqa,method=mcqa,model=openai_text-davinci-002	0.2712269235	0.13507	0.1361569235	297.32	1	1	0.7466666667	0.2712269235
commonsense_qa:dataset=siqa,method=mcqa,model=openai_text-davinci-001	0.1598446933	0.13507	0.02477469334	297.32	1	1	0.5933333333	0.1598446933
commonsense_qa:dataset=siqa,method=mcqa,model=openai_text-curie-001	0.1518476192	0.03402	0.1178276192	297.32	1	1	0.32	0.1518476192
commonsense_qa:dataset=siqa,method=mcqa,model=ai21_j1-jumbo	0.4358455118	0.097	0.3388455118	215.2966667	1	1	0.4066666667	0.4358455118
commonsense_qa:dataset=siqa,method=mcqa,model=ai21_j1-grande	2.189936219			215.2966667	1	1	0.3533333333	2.189936219
commonsense_qa:dataset=siqa,method=mcqa,model=ai21_j1-large	0.3490638566	0.028	0.3210638566	215.2966667	1	1	0.3533333333	0.3490638566
commonsense_qa:dataset=hellaswag,method=mcqa,model=anthropic_stanford-online-helpful-v4-s3	1.191686258	0.1300333333	1.061652925	606.7266667	1	1	0.5	1.191686258
commonsense_qa:dataset=openbookqa,method=mcqa,model=anthropic_stanford-online-helpful-v4-s3	0.8461041832	0.06676	0.7793441832	238.4566667	1	1	0.7033333333	0.8461041832
commonsense_qa:dataset=commonsenseqa,method=mcqa,model=anthropic_stanford-online-helpful-v4-s3	0.8457432564	0.078	0.7677432564	286.76	1	1	0.7266666667	0.8457432564
commonsense_qa:dataset=piqa,method=mcqa,model=anthropic_stanford-online-helpful-v4-s3	0.8520466224	0.08113	0.7709166224	310.0066667	1	1	0.7333333333	0.8520466224
commonsense_qa:dataset=siqa,method=mcqa,model=anthropic_stanford-online-helpful-v4-s3	0.8446790568	0.07804	0.7666390568	297.32	1	1	0.71	0.8446790568
mmlu:subject=abstract_algebra,model=openai_davinci	0.379328444	0.15186	0.227468444	371.38	1	1	0.29	0.379328444
mmlu:subject=abstract_algebra,model=openai_curie	0.1539446783	0.0389	0.1150446783	371.38	1	1	0.23	0.1539446783
mmlu:subject=abstract_algebra,model=openai_text-davinci-002	0.3006400895	0.15186	0.1487800895	371.38	1	1	0.31	0.3006400895
mmlu:subject=abstract_algebra,model=openai_text-davinci-001	0.1534892774	0.15186	0.001629277363	371.38	1	1	0.23	0.1534892774
mmlu:subject=abstract_algebra,model=openai_text-curie-001	0.1577280664	0.0389	0.1188280664	371.38	1	1	0.29	0.1577280664
mmlu:subject=abstract_algebra,model=ai21_j1-jumbo	1.210452631	0.13685	1.073602631	324.26	1	1	0.19	1.210452631
mmlu:subject=abstract_algebra,model=ai21_j1-grande	1.846709321			324.26	1	1	0.27	1.846709321
mmlu:subject=abstract_algebra,model=ai21_j1-large	0.3490189147	0.0351	0.3139189147	324.26	1	1	0.26	0.3490189147
mmlu:subject=anatomy,model=openai_davinci	0.3801504029	0.1507851852	0.2293652177	372.0814815	1	1	0.4592592593	0.3801504029
mmlu:subject=anatomy,model=openai_curie	0.1610712528	0.03859259259	0.1224786602	372.0814815	1	1	0.2740740741	0.1610712528
mmlu:subject=anatomy,model=openai_text-davinci-002	0.2917775348	0.1507851852	0.1409923497	372.0814815	1	1	0.6296296296	0.2917775348
mmlu:subject=anatomy,model=openai_text-davinci-001	0.1558621848	0.1507851852	0.005076999622	372.0814815	1	1	0.4962962963	0.1558621848
mmlu:subject=anatomy,model=openai_text-curie-001	0.1575470395	0.03859259259	0.1189544469	372.0814815	1	1	0.237037037	0.1575470395
mmlu:subject=anatomy,model=ai21_j1-jumbo	1.253512722	0.117	1.136512722	263.2	1	1	0.2296296296	1.253512722
mmlu:subject=anatomy,model=ai21_j1-grande	1.945444254			263.2	1	1	0.2074074074	1.945444254
mmlu:subject=anatomy,model=ai21_j1-large	0.3713530382	0.03133333333	0.3400197048	263.2	1	1	0.2666666667	0.3713530382
mmlu:subject=college_chemistry,model=openai_davinci	0.4324720907	0.21398	0.2184920907	545.4	1	1	0.27	0.4324720907
mmlu:subject=college_chemistry,model=openai_curie	0.1714773321	0.05278	0.1186973321	545.4	1	1	0.21	0.1714773321
mmlu:subject=college_chemistry,model=openai_text-davinci-002	0.3178971386	0.21398	0.1039171386	545.4	1	1	0.49	0.3178971386
mmlu:subject=college_chemistry,model=openai_text-davinci-001	0.1579404116	0.21398	-0.05603958843	545.4	1	1	0.33	0.1579404116
mmlu:subject=college_chemistry,model=openai_text-curie-001	0.1717648673	0.05278	0.1189848673	545.4	1	1	0.22	0.1717648673
mmlu:subject=college_chemistry,model=ai21_j1-jumbo	0.6843959618	0.1671	0.5172959618	477.01	1	1	0.24	0.6843959618
mmlu:subject=college_chemistry,model=ai21_j1-grande	1.873827236			477.01	1	1	0.24	1.873827236
mmlu:subject=college_chemistry,model=ai21_j1-large	0.4473057985	0.04724	0.4000657985	477.01	1	1	0.32	0.4473057985
mmlu:subject=computer_security,model=openai_davinci	0.3942892075	0.15481	0.2394792075	387.4	1	1	0.56	0.3942892075
mmlu:subject=computer_security,model=openai_curie	0.1643839478	0.03969	0.1246939478	387.4	1	1	0.25	0.1643839478
mmlu:subject=computer_security,model=openai_text-davinci-002	0.2924639797	0.15481	0.1376539797	387.4	1	1	0.74	0.2924639797
mmlu:subject=computer_security,model=openai_text-davinci-001	0.1715867209	0.15481	0.01677672094	387.4	1	1	0.61	0.1715867209
mmlu:subject=computer_security,model=openai_text-curie-001	0.1616266394	0.03969	0.1219366394	387.4	1	1	0.28	0.1616266394
mmlu:subject=computer_security,model=ai21_j1-jumbo	0.4908245826	0.13515	0.3556745826	308.59	1	1	0.27	0.4908245826
mmlu:subject=computer_security,model=ai21_j1-grande	1.958139391			308.59	1	1	0.3	1.958139391
mmlu:subject=computer_security,model=ai21_j1-large	0.3586262155	0.0348	0.3238262155	308.59	1	1	0.27	0.3586262155
mmlu:subject=econometrics,model=openai_davinci	0.4824695734	0.2320263158	0.2504432576	624.0701754	1	1	0.298245614	0.4824695734
mmlu:subject=econometrics,model=openai_curie	0.1748999253	0.05801754386	0.1168823814	624.0701754	1	1	0.2807017544	0.1748999253
mmlu:subject=econometrics,model=openai_text-davinci-002	0.2905386875	0.2320263158	0.05851237167	624.0701754	1	1	0.4824561404	0.2905386875
mmlu:subject=econometrics,model=openai_text-davinci-001	0.1773353188	0.2320263158	-0.05469099702	624.0701754	1	1	0.2894736842	0.1773353188
mmlu:subject=econometrics,model=openai_text-curie-001	0.1782338013	0.05801754386	0.1202162574	624.0701754	1	1	0.2368421053	0.1782338013
mmlu:subject=econometrics,model=ai21_j1-jumbo	0.7697515529	0.1984035088	0.5713480442	552.7192982	1	1	0.2192982456	0.7697515529
mmlu:subject=econometrics,model=ai21_j1-grande	1.847739738			552.7192982	1	1	0.2280701754	1.847739738
mmlu:subject=econometrics,model=ai21_j1-large	0.4530524747	0.05324561404	0.3998068607	552.7192982	1	1	0.2456140351	0.4530524747
mmlu:subject=global_facts,model=openai_davinci	0.379820137	0.17289	0.206930137	398.42	1	1	0.36	0.379820137
mmlu:subject=global_facts,model=openai_curie	0.1652650857	0.04511	0.1201550857	398.42	1	1	0.33	0.1652650857
mmlu:subject=global_facts,model=openai_text-davinci-002	0.2956498504	0.17289	0.1227598504	398.42	1	1	0.39	0.2956498504
mmlu:subject=global_facts,model=openai_text-davinci-001	0.1553117609	0.17289	-0.0175782391	398.42	1	1	0.32	0.1553117609
mmlu:subject=global_facts,model=openai_text-curie-001	0.1630417538	0.04511	0.1179317538	398.42	1	1	0.22	0.1630417538
mmlu:subject=global_facts,model=ai21_j1-jumbo	0.5113175201	0.13619	0.3751275201	322.71	1	1	0.21	0.5113175201
mmlu:subject=global_facts,model=ai21_j1-grande	1.518157597			322.71	1	1	0.31	1.518157597
mmlu:subject=global_facts,model=ai21_j1-large	0.357848618	0.03496	0.322888618	322.71	1	1	0.32	0.357848618
mmlu:subject=jurisprudence,model=openai_davinci	0.3969204713	0.1743240741	0.2225963972	418.7222222	1	1	0.4907407407	0.3969204713
mmlu:subject=jurisprudence,model=openai_curie	0.1662103622	0.04553703704	0.1206733252	418.7222222	1	1	0.2592592593	0.1662103622
mmlu:subject=jurisprudence,model=openai_text-davinci-002	0.2932651043	0.1743240741	0.1189410302	418.7222222	1	1	0.8148148148	0.2932651043
mmlu:subject=jurisprudence,model=openai_text-davinci-001	0.162001314	0.1743240741	-0.01232276009	418.7222222	1	1	0.5925925926	0.162001314
mmlu:subject=jurisprudence,model=openai_text-curie-001	0.1655710649	0.04553703704	0.1200340278	418.7222222	1	1	0.2777777778	0.1655710649
mmlu:subject=jurisprudence,model=ai21_j1-jumbo	0.4472467325	0.1338796296	0.3133671029	305.287037	1	1	0.3055555556	0.4472467325
mmlu:subject=jurisprudence,model=ai21_j1-grande	1.472493026			305.287037	1	1	0.3055555556	1.472493026
mmlu:subject=jurisprudence,model=ai21_j1-large	0.3698320941	0.0342962963	0.3355357978	305.287037	1	1	0.2685185185	0.3698320941
mmlu:subject=professional_medicine,model=openai_davinci	0.4879719211	0.3681290323	0.1198428889	1109.032258	1	1	0.3548387097	0.4879719211
mmlu:subject=professional_medicine,model=openai_curie	0.2664992655	0.1011935484	0.1653057172	1109.032258	1	1	0.2258064516	0.2664992655
mmlu:subject=professional_medicine,model=openai_text-davinci-002	0.3379558825	0.3681290323	-0.03017314979	1109.032258	1	1	0.7741935484	0.3379558825
mmlu:subject=professional_medicine,model=openai_text-davinci-001	0.3107854397	0.3681290323	-0.05734359255	1109.032258	1	1	0.5806451613	0.3107854397
mmlu:subject=professional_medicine,model=openai_text-curie-001	0.3687889576	0.1011935484	0.2675954092	1109.032258	1	1	0.2903225806	0.3687889576
mmlu:subject=professional_medicine,model=ai21_j1-jumbo	2.297593586	0.263483871	2.034109715	798.9354839	1	1	0.2580645161	2.297593586
mmlu:subject=professional_medicine,model=ai21_j1-grande	1.813198351			798.9354839	1	1	0.2580645161	1.813198351
mmlu:subject=professional_medicine,model=ai21_j1-large	0.548869556	0.07496774194	0.4739018141	798.9354839	1	1	0.1290322581	0.548869556
mmlu:subject=philosophy,model=openai_davinci	0.3468241851	0.1465333333	0.2002908517	354.0333333	1	1	0.4666666667	0.3468241851
mmlu:subject=philosophy,model=openai_curie	0.1667630514	0.03733333333	0.129429718	354.0333333	1	1	0.2	0.1667630514
mmlu:subject=philosophy,model=openai_text-davinci-002	0.2825921377	0.1465333333	0.1360588043	354.0333333	1	1	0.7333333333	0.2825921377
mmlu:subject=philosophy,model=openai_text-davinci-001	0.1781937122	0.1465333333	0.0316603789	354.0333333	1	1	0.5333333333	0.1781937122
mmlu:subject=philosophy,model=openai_text-curie-001	0.1624469042	0.03733333333	0.1251135708	354.0333333	1	1	0.2	0.1624469042
mmlu:subject=philosophy,model=ai21_j1-jumbo	0.720228982	0.1078	0.612428982	259.9666667	1	1	0.2333333333	0.720228982
mmlu:subject=philosophy,model=ai21_j1-grande	1.194364691			259.9666667	1	1	0.1666666667	1.194364691
mmlu:subject=philosophy,model=ai21_j1-large	0.3699304342	0.0298	0.3401304342	259.9666667	1	1	0.3666666667	0.3699304342
mmlu:subject=us_foreign_policy,model=openai_davinci	0.3735872912	0.17545	0.1981372912	433.12	1	1	0.67	0.3735872912
mmlu:subject=us_foreign_policy,model=openai_curie	0.1655293393	0.04601	0.1195193393	433.12	1	1	0.22	0.1655293393
mmlu:subject=us_foreign_policy,model=openai_text-davinci-002	0.2916163278	0.17545	0.1161663278	433.12	1	1	0.83	0.2916163278
mmlu:subject=us_foreign_policy,model=openai_text-davinci-001	0.1585413408	0.17545	-0.01690865917	433.12	1	1	0.75	0.1585413408
mmlu:subject=us_foreign_policy,model=openai_text-curie-001	0.164560287	0.04601	0.118550287	433.12	1	1	0.24	0.164560287
mmlu:subject=us_foreign_policy,model=ai21_j1-jumbo	0.6360740995	0.13657	0.4995040995	321.12	1	1	0.36	0.6360740995
mmlu:subject=us_foreign_policy,model=ai21_j1-grande	1.185492623			321.12	1	1	0.32	1.185492623
mmlu:subject=us_foreign_policy,model=ai21_j1-large	0.3545983291	0.03502	0.3195783291	321.12	1	1	0.21	0.3545983291
mmlu:subject=us_foreign_policy,model=gooseai_gpt-neo-20b	0.3517167616	0.11489	0.2368267616	433.12	1	1	0.29	0.3517167616
mmlu:subject=us_foreign_policy,model=gooseai_gpt-j-6b	0.2318098831	0.04101	0.1907998831	433.12	1	1	0.3	0.2318098831
mmlu:subject=abstract_algebra,model=anthropic_stanford-online-helpful-v4-s3	0.8501765585	0.08838	0.7617965585	371.38	1	1	0.31	0.8501765585
mmlu:subject=anatomy,model=anthropic_stanford-online-helpful-v4-s3	0.8470031597	0.08779259259	0.7592105671	372.0814815	1	1	0.5333333333	0.8470031597
mmlu:subject=college_chemistry,model=anthropic_stanford-online-helpful-v4-s3	1.162869055	0.1203	1.042569055	545.4	1	1	0.38	1.162869055
mmlu:subject=computer_security,model=anthropic_stanford-online-helpful-v4-s3	0.86009969	0.09041	0.76968969	387.4	1	1	0.67	0.86009969
mmlu:subject=econometrics,model=anthropic_stanford-online-helpful-v4-s3	1.22876485	0.1310350877	1.097729762	624.0701754	1	1	0.3596491228	1.22876485
mmlu:subject=global_facts,model=anthropic_stanford-online-helpful-v4-s3	0.8547838616	0.10229	0.7524938616	398.42	1	1	0.32	0.8547838616
mmlu:subject=jurisprudence,model=anthropic_stanford-online-helpful-v4-s3	0.8627318762	0.1037685185	0.7589633577	418.7222222	1	1	0.7222222222	0.8627318762
mmlu:subject=medical_genetics,model=anthropic_stanford-online-helpful-v4-s3	0.8489737773	0.08266	0.7663137773	352.71	1	1	0.62	0.8489737773
mmlu:subject=philosophy,model=anthropic_stanford-online-helpful-v4-s3	0.8532250722	0.08493333333	0.7682917389	354.0333333	1	1	0.6333333333	0.8532250722
mmlu:subject=us_foreign_policy,model=anthropic_stanford-online-helpful-v4-s3	0.862042582	0.10577	0.756272582	433.12	1	1	0.76	0.862042582
wikifact:k=5,subject=P19,model=openai_davinci	0.5761092588	0.1993684211	0.3767408377	62.84210526	2.157894737	2.157894737		0.5761092588
wikifact:k=5,subject=P19,model=openai_curie	0.1954761304	0.06515789474	0.1303182357	62.84210526	2.473684211	2.473684211		0.1954761304
wikifact:k=5,subject=P19,model=openai_text-davinci-002	0.6059156343	0.4381052632	0.1678103711	62.84210526	5.157894737	5.157894737		0.6059156343
wikifact:k=5,subject=P19,model=openai_text-davinci-001	0.258550531	0.09278947368	0.1657610573	62.84210526	0	0		0.258550531
wikifact:k=5,subject=P19,model=openai_text-curie-001	0.2058441764	0.026	0.1798441764	62.84210526	0	0		0.2058441764
wikifact:k=5,subject=P19,model=ai21_j1-jumbo	0.7961335559	0.201	0.5951335559	39	3	3		0.7961335559
wikifact:k=5,subject=P19,model=ai21_j1-grande	2.512209039			39	3.315789474	3.315789474		2.512209039
wikifact:k=5,subject=P19,model=ai21_j1-large	0.3933935165	0.074	0.3193935165	39	3	3		0.3933935165
wikifact:k=5,subject=P31,model=openai_davinci	0.6420805831	0.3337368421	0.308343741	77.31578947	3.842105263	3.842105263		0.6420805831
wikifact:k=5,subject=P31,model=openai_curie	0.2108007105	0.1118947368	0.09890597364	77.31578947	4.526315789	4.526315789		0.2108007105
wikifact:k=5,subject=P31,model=openai_text-davinci-002	0.600939186	0.5639473684	0.03699181757	77.31578947	6.789473684	6.789473684		0.600939186
wikifact:k=5,subject=P31,model=openai_text-davinci-001	0.2724369953	0.1546842105	0.1177527847	77.31578947	0.8421052632	0.8421052632		0.2724369953
wikifact:k=5,subject=P31,model=openai_text-curie-001	0.2099329421	0.03231578947	0.1776171527	77.31578947	0.3684210526	0.3684210526		0.2099329421
wikifact:k=5,subject=P31,model=ai21_j1-jumbo	0.5565934809	0.1981578947	0.3584355861	61.36842105	2.947368421	2.947368421		0.5565934809
wikifact:k=5,subject=P31,model=ai21_j1-grande	2.093732445			61.36842105	2.789473684	2.789473684		2.093732445
wikifact:k=5,subject=P31,model=ai21_j1-large	0.4105918658	0.06010526316	0.3504866027	61.36842105	2.421052632	2.421052632		0.4105918658
wikifact:k=5,subject=P50,model=openai_davinci	0.6094542554	0.3124210526	0.2970332027	92.68421053	3.684210526	3.684210526		0.6094542554
wikifact:k=5,subject=P50,model=openai_curie	0.1901983211	0.06136842105	0.1288299	92.68421053	2.421052632	2.421052632		0.1901983211
wikifact:k=5,subject=P50,model=openai_text-davinci-002	0.5761538681	0.1461578947	0.4299959734	92.68421053	0.7368421053	0.7368421053		0.5761538681
wikifact:k=5,subject=P50,model=openai_text-davinci-001	0.2472649624	0.1248421053	0.1224228572	92.68421053	0.4210526316	0.4210526316		0.2472649624
wikifact:k=5,subject=P50,model=openai_text-curie-001	0.2181402257	0.04747368421	0.1706665415	92.68421053	1.052631579	1.052631579		0.2181402257
wikifact:k=5,subject=P50,model=ai21_j1-jumbo	0.5806230997	0.2694210526	0.311202047	62.36842105	4.052631579	4.052631579		0.5806230997
wikifact:k=5,subject=P50,model=ai21_j1-grande	2.195279586			62.36842105	4	4		2.195279586
wikifact:k=5,subject=P50,model=ai21_j1-large	0.4059739364	0.09673684211	0.3092370943	62.36842105	3.947368421	3.947368421		0.4059739364
wikifact:k=5,subject=P1620,model=openai_davinci	0.5684663331	0.2688125	0.2996538331	113.0104167	3.135416667	3.135416667		0.5684663331
wikifact:k=5,subject=P1620,model=openai_curie	0.1950608691	0.0595	0.1355608691	113.0104167	2.385416667	2.385416667		0.1950608691
wikifact:k=5,subject=P1620,model=openai_text-davinci-002	0.6059307853	0.273875	0.3320557853	113.0104167	2.5625	2.5625		0.6059307853
wikifact:k=5,subject=P1620,model=openai_text-davinci-001	0.2433884641	0.11609375	0.1272947141	113.0104167	0.3020833333	0.3020833333		0.2433884641
wikifact:k=5,subject=P1620,model=openai_text-curie-001	0.2040459986	0.03125	0.1727959986	113.0104167	0.25	0.25		0.2040459986
wikifact:k=5,subject=P1620,model=ai21_j1-jumbo	0.7527695323	0.2726666667	0.4801028656	83.20833333	4.041666667	4.041666667		0.7527695323
wikifact:k=5,subject=P1620,model=ai21_j1-grande	2.429933948			83.20833333	3.604166667	3.604166667		2.429933948
wikifact:k=5,subject=P1620,model=ai21_j1-large	0.3997056956	0.0915	0.3082056956	83.20833333	3.729166667	3.729166667		0.3997056956
wikifact:k=5,subject=P39,model=openai_davinci	0.5575609709	0.1376315789	0.419929392	93	1.368421053	1.368421053		0.5575609709
wikifact:k=5,subject=P39,model=openai_curie	0.1971714748	0.09547368421	0.1016977905	93	3.421052632	3.421052632		0.1971714748
wikifact:k=5,subject=P39,model=openai_text-davinci-002	0.5850179572	0.4275263158	0.1574916414	93	5	5		0.5850179572
wikifact:k=5,subject=P39,model=openai_text-davinci-001	0.2422947884	0.1248421053	0.1174526831	93	0.4210526316	0.4210526316		0.2422947884
wikifact:k=5,subject=P39,model=openai_text-curie-001	0.2123592527	0.026	0.1863592527	93	0	0		0.2123592527
wikifact:k=5,subject=P39,model=ai21_j1-jumbo	1.120390629	0.2396842105	0.880706418	72.73684211	3.526315789	3.526315789		1.120390629
wikifact:k=5,subject=P39,model=ai21_j1-grande	1.388602897			72.73684211	3.473684211	3.473684211		1.388602897
wikifact:k=5,subject=P39,model=ai21_j1-large	0.4555920425	0.074	0.3815920425	72.73684211	3	3		0.4555920425
wikifact:k=5,subject=P36,model=openai_davinci	0.6184183673	0.2783157895	0.3401025778	93.63157895	3.263157895	3.263157895		0.6184183673
wikifact:k=5,subject=P36,model=openai_curie	0.1916091191	0.08536842105	0.1062406981	93.63157895	3.473684211	3.473684211		0.1916091191
wikifact:k=5,subject=P36,model=openai_text-davinci-002	0.6992644134	0.3422631579	0.3570012555	93.63157895	3.736842105	3.736842105		0.6992644134
wikifact:k=5,subject=P36,model=openai_text-davinci-001	0.2431480759	0.095	0.1481480759	93.63157895	0	0		0.2431480759
wikifact:k=5,subject=P36,model=openai_text-curie-001	0.2066438324	0.04368421053	0.1629596218	93.63157895	0.8421052632	0.8421052632		0.2066438324
wikifact:k=5,subject=P36,model=ai21_j1-jumbo	0.5877999256	0.2127368421	0.3750630834	70.68421053	3.105263158	3.105263158		0.5877999256
wikifact:k=5,subject=P36,model=ai21_j1-grande	1.230040312			70.68421053	3.210526316	3.210526316		1.230040312
wikifact:k=5,subject=P36,model=ai21_j1-large	0.4124667895	0.05757894737	0.3548878422	70.68421053	2.315789474	2.315789474		0.4124667895
wikifact:k=5,subject=P38,model=openai_davinci	0.5751806686	0.4317894737	0.1433911949	69.21052632	5.157894737	5.157894737		0.5751806686
wikifact:k=5,subject=P38,model=openai_curie	0.1984689989	0.146	0.05246899886	69.21052632	6	6		0.1984689989
wikifact:k=5,subject=P38,model=openai_text-davinci-002	0.6655090106	0.5298421053	0.1356669054	69.21052632	6.210526316	6.210526316		0.6655090106
wikifact:k=5,subject=P38,model=openai_text-davinci-001	0.2463466368	0.2143684211	0.03197821577	69.21052632	1.894736842	1.894736842		0.2463466368
wikifact:k=5,subject=P38,model=openai_text-curie-001	0.2101269145	0.07273684211	0.1373900724	69.21052632	2.263157895	2.263157895		0.2101269145
wikifact:k=5,subject=P38,model=ai21_j1-jumbo	0.5211609288	0.2017894737	0.3193714551	60.94736842	3	3		0.5211609288
wikifact:k=5,subject=P38,model=ai21_j1-grande	1.200331023			60.94736842	3.105263158	3.105263158		1.200331023
wikifact:k=5,subject=P38,model=ai21_j1-large	0.3963043188	0.07021052632	0.3260937925	60.94736842	2.842105263	2.842105263		0.3963043188
wikifact:k=5,subject=P61,model=openai_davinci	0.5645953229	0.4403157895	0.1242795334	83.52631579	5.263157895	5.263157895		0.5645953229
wikifact:k=5,subject=P61,model=openai_curie	0.1962947971	0.09673684211	0.09955795499	83.52631579	3.947368421	3.947368421		0.1962947971
wikifact:k=5,subject=P61,model=openai_text-davinci-002	0.6406231554	0.419	0.2216231554	83.52631579	4.736842105	4.736842105		0.6406231554
wikifact:k=5,subject=P61,model=openai_text-davinci-001	0.2876854947	0.095	0.1926854947	83.52631579	0	0		0.2876854947
wikifact:k=5,subject=P61,model=openai_text-curie-001	0.2095641839	0.026	0.1835641839	83.52631579	0	0		0.2095641839
wikifact:k=5,subject=P61,model=ai21_j1-jumbo	0.5154124185	0.1723157895	0.343096629	72.42105263	2.473684211	2.473684211		0.5154124185
wikifact:k=5,subject=P61,model=ai21_j1-grande	1.436989345			72.42105263	4.210526316	4.210526316		1.436989345
wikifact:k=5,subject=P61,model=ai21_j1-large	0.3907670473	0.09926315789	0.2915038894	72.42105263	4.052631579	4.052631579		0.3907670473
wikifact:k=5,subject=P2175,model=openai_davinci	0.5786466849	0.4658947368	0.1127519481	95.26315789	5.578947368	5.578947368		0.5786466849
wikifact:k=5,subject=P2175,model=openai_curie	0.18998195	0.1422105263	0.04777142364	95.26315789	5.842105263	5.842105263		0.18998195
wikifact:k=5,subject=P2175,model=openai_text-davinci-002	0.6574911318	0.419	0.2384911318	95.26315789	5	5		0.6574911318
wikifact:k=5,subject=P2175,model=openai_text-davinci-001	0.2471782283	0.095	0.1521782283	95.26315789	0	0		0.2471782283
wikifact:k=5,subject=P2175,model=openai_text-curie-001	0.2084794672	0.04873684211	0.1597426251	95.26315789	1.157894737	1.157894737		0.2084794672
wikifact:k=5,subject=P2175,model=ai21_j1-jumbo	0.5898078115	0.3005263158	0.2892814957	64.36842105	4.526315789	4.526315789		0.5898078115
wikifact:k=5,subject=P2175,model=ai21_j1-grande	1.473964214			64.36842105	4.105263158	4.105263158		1.473964214
